run_details,runtime
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_004,"(0.0003924369812011719, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_005,"(0.0004818439483642578, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_006,"(0.00041484832763671875, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_007,"(0.00038504600524902344, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_008,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_009,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_010,"(0.0004057884216308594, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_011,"(0.00044274330139160156, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_012,"(3.4746906757354736, 0.3677839016114831)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_013,"(0.00041031837463378906, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_014,"(3.577195882797241, 0.8610703013623568)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_015,"(0.00042510032653808594, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_016,"(0.0004298686981201172, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_017,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_018,"(0.00041103363037109375, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_019,"(3.8550949096679688, 3.0579840728456533)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_020,"(0.00045228004455566406, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_021,"(0.00041365623474121094, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_022,"(0.0004203319549560547, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_023,"(0.0004303455352783203, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_024,"(0.00038504600524902344, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_025,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_026,"(0.0004143714904785156, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_027,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_028,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_029,"(0.0003974437713623047, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_030,"(0.00045108795166015625, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_031,"(0.0004277229309082031, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_032,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_033,"(0.00038933753967285156, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_034,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_035,"(0.0004668235778808594, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_036,"(0.00044417381286621094, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_037,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_038,"(0.00042438507080078125, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_039,"(0.0004892349243164062, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_040,"(0.00043129920959472656, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_041,"(0.00042176246643066406, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_042,"(0.0004703998565673828, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_043,"(0.0004146099090576172, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_044,"(0.0004482269287109375, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_045,"(0.0004024505615234375, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_046,"(0.0004153251647949219, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_047,"(0.0004367828369140625, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_048,"(0.0004153251647949219, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_049,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000040_sim_000,"(0.0004839897155761719, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000040_sim_001,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000040_sim_002,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000040_sim_003,"(0.016225099563598633, 0.41762786973727584)"
algorithm_edgeIDbrutev3UB_num_nodes_000040_sim_004,"(0.0004551410675048828, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000040_sim_005,"(0.00045943260192871094, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000040_sim_006,"(0.0004458427429199219, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000040_sim_007,"(0.00047206878662109375, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000040_sim_008,"(0.00046944618225097656, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000040_sim_009,"(0.0004355907440185547, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000040_sim_010,"(0.00040984153747558594, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000040_sim_011,"(0.0005331039428710938, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000040_sim_012,"(0.00045228004455566406, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000040_sim_013,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000040_sim_014,"(0.0004372596740722656, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000040_sim_015,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000040_sim_016,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000040_sim_017,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000040_sim_018,"(0.015409469604492188, 0.35849150115059625)"
algorithm_edgeIDbrutev3UB_num_nodes_000040_sim_019,"(0.0006222724914550781, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000040_sim_020,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000040_sim_021,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000040_sim_022,"(0.00043463706970214844, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000040_sim_023,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000040_sim_024,"(0.0004162788391113281, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000040_sim_025,"(0.0004451274871826172, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000040_sim_026,"(0.0004706382751464844, 0)"
