run_details,runtime
algorithm_heuristicMinCut2_num_nodes_000005_sim_042,"(0.0010085105895996094, 0)"
algorithm_Alg2_num_nodes_000005_sim_042,"(0.0009946823120117188, 0)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_042,"(0.00032019615173339844, 0)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_043,"(0.00022411346435546875, 0)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_043,"(0.00022530555725097656, 0)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_043,"(0.001068115234375, 0)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_043,"(0.0010516643524169922, 0)"
algorithm_Alg2_num_nodes_000005_sim_043,"(0.0010380744934082031, 0)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_043,"(0.0003414154052734375, 0)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_044,"(0.0011589527130126953, 3.953869324872464)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_044,"(0.001131296157836914, 3.953869324872464)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_044,"(0.0036776065826416016, 3.953869324872464)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_044,"(0.002886056900024414, 3.953869324872464)"
algorithm_Alg2_num_nodes_000005_sim_044,"(0.0038487911224365234, 3.953869324872464)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_044,"(0.01170659065246582, 3.953869324872464)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_045,"(0.00021576881408691406, 0)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_045,"(0.000213623046875, 0)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_045,"(0.0010788440704345703, 0)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_045,"(0.0010199546813964844, 0)"
algorithm_Alg2_num_nodes_000005_sim_045,"(0.001055002212524414, 0)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_045,"(0.0003266334533691406, 0)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_046,"(0.0011792182922363281, 2.6976290372274265)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_046,"(0.0011394023895263672, 2.6976290372274265)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_046,"(0.003068208694458008, 2.6976290372274265)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_046,"(0.0030281543731689453, 2.6976290372274265)"
algorithm_Alg2_num_nodes_000005_sim_046,"(0.0038297176361083984, 2.6976290372274265)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_046,"(0.011874914169311523, 2.6976290372274265)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_047,"(0.0009632110595703125, 0.5593434663159418)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_047,"(0.0009760856628417969, 0.5593434663159418)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_047,"(0.0020766258239746094, 0.5593434663159418)"
