run_details,runtime
algorithm_heuristicEdgeId2_num_nodes_000005_sim_040,"(0.001087188720703125, 1.6530274558177216)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_040,"(0.0035858154296875, 1.6530274558177216)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_040,"(0.003791332244873047, 1.6530274558177216)"
algorithm_Alg2_num_nodes_000005_sim_040,"(0.02736663818359375, 1.6530274558177216)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_040,"(0.2392590045928955, 1.2247963788279588)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_041,"(0.0011429786682128906, 3.2189068433426455)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_041,"(0.0010967254638671875, 3.186696555289032)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_041,"(0.0043926239013671875, 3.2189068433426455)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_041,"(0.003851652145385742, 3.186696555289032)"
algorithm_Alg2_num_nodes_000005_sim_041,"(0.08704447746276855, 3.186696555289032)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_041,"(0.14340543746948242, 3.0992920864604194)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_042,"(0.0009756088256835938, 0.4955270629184042)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_042,"(0.0009927749633789062, 0.4955270629184042)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_042,"(0.002477407455444336, 0.4955270629184042)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_042,"(0.0028467178344726562, 0.4955270629184042)"
algorithm_Alg2_num_nodes_000005_sim_042,"(0.0018627643585205078, 0.4955270629184042)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_042,"(0.002701282501220703, 0.4955270629184042)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_043,"(0.0010142326354980469, 0.9922273012772544)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_043,"(0.0010569095611572266, 0.9922273012772544)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_043,"(0.003018617630004883, 0.9922273012772544)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_043,"(0.003201007843017578, 0.9922273012772544)"
algorithm_Alg2_num_nodes_000005_sim_043,"(0.0038127899169921875, 0.9922273012772544)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_043,"(0.012249231338500977, 0.9922273012772544)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_044,"(0.001085042953491211, 2.312559307188744)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_044,"(0.0012404918670654297, 2.312559307188744)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_044,"(0.003364086151123047, 2.312559307188744)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_044,"(0.0038285255432128906, 2.312559307188744)"
algorithm_Alg2_num_nodes_000005_sim_044,"(0.014854192733764648, 2.3125593071887445)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_044,"(0.14809179306030273, 2.312559307188744)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_045,"(0.0011932849884033203, 2.6381720938766353)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_045,"(0.0014376640319824219, 3.9926341189701873)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_045,"(0.003685474395751953, 2.6381720938766358)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_045,"(0.005177497863769531, 2.6381720938766358)"
