run_details,runtime
algorithm_edgeIDbrutev3UB_num_nodes_000040_sim_025,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000040_sim_026,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000040_sim_027,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000040_sim_028,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000040_sim_029,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000040_sim_030,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000040_sim_031,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000040_sim_032,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000040_sim_033,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000040_sim_034,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000040_sim_035,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000040_sim_036,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000040_sim_037,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000040_sim_038,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000040_sim_039,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000040_sim_040,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000040_sim_041,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000040_sim_042,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000040_sim_043,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000040_sim_044,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000040_sim_045,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000040_sim_046,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000040_sim_047,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000040_sim_048,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000040_sim_049,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000050_sim_000,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000050_sim_001,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000050_sim_002,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000050_sim_003,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000050_sim_004,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000050_sim_005,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000050_sim_006,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000050_sim_007,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000050_sim_008,"(inf, inf)"
